LINE ID	QUEST	SCENE	ALIAS	VOICE TYPE	FILENAME	RESPONSE TEXT	SUPPORTING DIALOGUE	EMOTION	SCRIPT NOTES	HEADTRACK TARGET	SCENE PHASE
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_1		Brothers, put down your weapons!!	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_2		The Companions are not our enemies. They are our Brothers in blood. A long time ago we all were the same group! 	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_3		But we, the Silver Hand did not accepted this Werewolf abomination you all are seeing now!	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_4		This is a curse  brought by the Witches Glenmoril into the heart of the Companions. 	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_5		Since then, it was perpetuated be daedric rituals of blood devoted to Hircine.	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_6		We split into two separated groups, and we have been fighting for centuries. 	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047411_7		But now, the Circle was defeated and Companions are free from the Daedric curse! It's time to rejoy again!	Happy 50			1
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047975_1		Brothers, put down your weapons!! The Companions are not our enemies!	Happy 70			0
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleEvenTonedAccented	DSilHand_M80AssaultJor__0004797A_1		Fjol.. as I see, I was not quick enough... I knew it was coming to this one day.	Neutral 50		Fjol	4
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00047EDF_1		Yes, we did it Vignar. We cleaned the Circle from the Hircine Curse. Now the Companion are free from Lycantropy, and we vanged Krev death. 	Neutral 50		FakeVignar	5
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_1	So it happened... Krev is dead too... 		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_2	It has passed a long time since we were young. 		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_3	We all: I, Kodlack, Krev and you were great friends...		Sad 70		Fjol	6
