LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	1	DSilHand_A_DSilHand_A02Se__00011A66_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_1.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	Well, it happened some years ago after I fled from Cyrodil. 	Happy 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	2	DSilHand_A_DSilHand_A02Se__00011A66_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_2.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	I was a prisoner in Bruma...I had some problems with the guards in the city. 	Sad 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	3	DSilHand_A_DSilHand_A02Se__00011A66_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_3.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	I managed to escape and fled to Skyrim...  	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	4	DSilHand_A_DSilHand_A02Se__00011A66_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_4.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	When finished crossing the Pale Pass and arrived in Skyrim, I was freezing to death and starving...	Sad 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	5	DSilHand_A_DSilHand_A02Se__00011A66_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_5.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	Then, a Silver Hand group led by Krev found me. They gave me food and shelter. 	Happy 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	6	DSilHand_A_DSilHand_A02Se__00011A66_6	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_6.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	They received me as a brother. No one outside Elsweyr had ever treated me like this before. 	Happy 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_A02LoreDialogs	DSilHand_A02_Senaar	Topic	PlayerDialogue	Custom	DSilHand_A02Se_Topic01	FormID 02011A66	7	DSilHand_A_DSilHand_A02Se__00011A66_7	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_7.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	I'm here since then. 	Happy 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_A02LoreDialogs	DSilHand_A02_Hillara	Topic	PlayerDialogue	Custom	DSilHand_A02Hi_Topic01	FormID 02011A67	1	DSilHand_A_DSilHand_A02Hi__00011A67_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_1.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	That's a long story... I was a member of hunter's guild in Valenwood some years ago. 	Neutral 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_A02LoreDialogs	DSilHand_A02_Hillara	Topic	PlayerDialogue	Custom	DSilHand_A02Hi_Topic01	FormID 02011A67	2	DSilHand_A_DSilHand_A02Hi__00011A67_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_2.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	But I always wanted to know other provinces in Tamriel.	Happy 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_A02LoreDialogs	DSilHand_A02_Hillara	Topic	PlayerDialogue	Custom	DSilHand_A02Hi_Topic01	FormID 02011A67	3	DSilHand_A_DSilHand_A02Hi__00011A67_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_3.xwm	File Not Found		How did you join the Silver Hands?	How did you join the Silver Hands?	In my research, I heard about some werewolf hunters who resided here in Skyrim. But I could not find clear information about where they resided.	Puzzled 50			
