LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	1	DSilHand_M_DSilHand_M10GMK_0000EED7_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_1.xwm	File Not Found		Yes, I do!	Yes, I do!	Now, you are officially a silver hand initiate. Take this armor and shield.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	2	DSilHand_M_DSilHand_M10GMK_0000EED7_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_2.xwm	File Not Found		Yes, I do!	Yes, I do!	They are not expensive ones, but are especially good to protect against the cold weather of the ice fields.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	3	DSilHand_M_DSilHand_M10GMK_0000EED7_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_3.xwm	File Not Found		Yes, I do!	Yes, I do!	Take this weapon, it is a Silver sword. It will protect you against foul creatures we fight against.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	4	DSilHand_M_DSilHand_M10GMK_0000EED7_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_4.xwm	File Not Found		Yes, I do!	Yes, I do!	I will give you one book too, it is called Songs of Return, volume seven.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	5	DSilHand_M_DSilHand_M10GMK_0000EED7_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_5.xwm	File Not Found		Yes, I do!	Yes, I do!	Read it, you will learn more about the Ysgramor and its legacy.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	6	DSilHand_M_DSilHand_M10GMK_0000EED7_6	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_6.xwm	File Not Found		Yes, I do!	Yes, I do!	Each Silver Hand must read one of this.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic05	FormID 0200EED7	7	DSilHand_M_DSilHand_M10GMK_0000EED7_7	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_7.xwm	File Not Found		Yes, I do!	Yes, I do!	Downstairs, there is a library, where you will find other useful book, if you are interested to learn more.	Neutral 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic04	FormID 0200EED4	1	DSilHand_M_DSilHand_M10GMK_0000EED4_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_1.xwm	File Not Found		What things?	What things?	We fight against these beasts to cleanse this foul daedric disease that has taken the sanity of many of our brothers and sisters here on Skyrim.	Disgust 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic04	FormID 0200EED4	2	DSilHand_M_DSilHand_M10GMK_0000EED4_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_2.xwm	File Not Found		What things?	What things?	But worst than that, have corrupted the souls of many sons of Skyrim, and take them away from Sovngarde in exchange of an ephemeral power in life.	Anger 50			
FFFFFFFF	DSilHand_KrevTheSkinner	DSilHand_KrevTheSkinner	GetIsID == 1	NordRace	MaleNord	DSilHand_M10SilverHunt	DSilHand_M10_GallowsMeetKrev	Topic	PlayerDialogue	Custom	DSilHand_M10GMK_Topic04	FormID 0200EED4	3	DSilHand_M_DSilHand_M10GMK_0000EED4_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_3.xwm	File Not Found		What things?	What things?	But, you must be aware. No only beggars and forgotten people have lycanthropy here on Skyrim.	Disgust 50			
