LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic06	FormID 02015AD3	1	DSilHand_M_DSilHand_M30_FM_00015AD3_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD3_1.xwm	File Not Found		Consider the task done!	Consider the task done!	Good Brother! That's the spirit! Please, be discrete as possible. No one should know he is our informant.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic05	FormID 02015AD1	1	DSilHand_M_DSilHand_M30_FM_00015AD1_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD1_1.xwm	File Not Found		How do you know that?	How do you know that?	This is a long history. Let's I and Krev were invited to become beasts, and refused the "gift". 	Sad 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic05	FormID 02015AD1	2	DSilHand_M_DSilHand_M30_FM_00015AD1_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD1_2.xwm	File Not Found		How do you know that?	How do you know that?	But we didn't want to stay quiet as well. Now, they are persecuting us. 	Anger 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic05	FormID 02015AD1	3	DSilHand_M_DSilHand_M30_FM_00015AD1_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD1_3.xwm	File Not Found		How do you know that?	How do you know that?	Enough talk about the past...  Soon we may talk more about that. Now I need a favor.	Puzzled 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic05	FormID 02015AD1	4	DSilHand_M_DSilHand_M30_FM_00015AD1_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD1_4.xwm	File Not Found		How do you know that?	How do you know that?	Could you please talk to an informant we have on Winterhold? He is called Nelacar. 	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic05	FormID 02015AD1	5	DSilHand_M_DSilHand_M30_FM_00015AD1_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AD1_5.xwm	File Not Found		How do you know that?	How do you know that?	Just ask him, if he still have that silver ring to sell. If he has any good news, he will find a way to tell you. 	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic04	FormID 02015ACF	1	DSilHand_M_DSilHand_M30_FM_00015ACF_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACF_1.xwm	File Not Found		Members of the Circle?	 Members of the Circle?	Yes. Their leaders. They say they are all equals. That was true on the past. Centuries ago. 	Anger 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic04	FormID 02015ACF	2	DSilHand_M_DSilHand_M30_FM_00015ACF_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACF_2.xwm	File Not Found		Members of the Circle?	 Members of the Circle?	Before they started to worship Hircine. Now, all the members of the circle share the same beast blood.	Anger 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic03	FormID 02015ACD	1	DSilHand_M_DSilHand_M30_FM_00015ACD_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACD_1.xwm	File Not Found		Dogs in Whiterun?	Dogs in Whiterun?	Yes. The Companions. The members of the circle. They are werewolves. All of them.	Disgust 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic02	FormID 02015ACB	1	DSilHand_M_DSilHand_M30_FM_00015ACB_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACB_1.xwm	File Not Found		Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	 Is that true? Brave! We are one piece closer to finish that puzzle.	Happy 100			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic02	FormID 02015ACB	2	DSilHand_M_DSilHand_M30_FM_00015ACB_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACB_2.xwm	File Not Found		Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	As Krev may have told you, we the Silver Hand have been search for the pieces of Wuuthrad for some centuries from now.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic02	FormID 02015ACB	3	DSilHand_M_DSilHand_M30_FM_00015ACB_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACB_3.xwm	File Not Found		Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	It was broken into twelve pieces hundreds of years ago. Right now, the Dogs in Whiterun have four pieces.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic02	FormID 02015ACB	4	DSilHand_M_DSilHand_M30_FM_00015ACB_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015ACB_4.xwm	File Not Found		Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	Yes, you are. We found the Wuuthrad fragment on Angarvunde's treasure.	But, thanks to your help, we do have five fragments right now. 	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolMeet_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FMTopic01	FormID 02015AC9	1	DSilHand_M_DSilHand_M30_FM_00015AC9_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FM_00015AC9_1.xwm	File Not Found		Are you Fjol?	Are you Fjol?	Yes. I'm. I believe you are the new recruit, I'm right?	Neutral 50			
FFFFFFFF	Nelacar	Nelacar	GetIsID == 1	HighElfRace	MaleElfHaughty	DSilHand_M30ScholarFragment	DSilHand_M30_WinterInformant_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_WITopic01	FormID 02015AD6	1	DSilHand_M_DSilHand_M30_WI_00015AD6_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleElfHaughty\DSilHand_M_DSilHand_M30_WI_00015AD6_1.xwm	File Not Found		Do you still have that silver ring to sell?	Do you still have that silver ring to sell?	...	Happy 60		Nelacar smiles and give a letter to Dragonborn.	
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolFragLetter_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FFLTopic03	FormID 0201603F	1	DSilHand_M_DSilHand_M30_FF_0001603F_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FF_0001603F_1.xwm	File Not Found		I'll be there.	I'll be there!	Good! Before we continue, I need to thank you for your efforts.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolFragLetter_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FFLTopic03	FormID 0201603F	2	DSilHand_M_DSilHand_M30_FF_0001603F_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FF_0001603F_2.xwm	File Not Found		I'll be there.	I'll be there!	Take this sword as a reward for your efforts. It is a silver sword, but with a secret tempering method that uses dwemer oil.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolFragLetter_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FFLTopic03	FormID 0201603F	3	DSilHand_M_DSilHand_M30_FF_0001603F_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FF_0001603F_3.xwm	File Not Found		I'll be there.	I'll be there!	This tempering makes it become as hard and sharp as ebony.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M30ScholarFragment	DSilHand_M30_FjolFragLetter_Branch	Topic	PlayerDialogue	Custom	DSilHand_M30_FFLTopic03	FormID 0201603F	4	DSilHand_M_DSilHand_M30_FF_0001603F_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M30_FF_0001603F_4.xwm	File Not Found		I'll be there.	I'll be there!	Go talk with Kurdak if you want to learn more about it.	Happy 50			
