LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	GetIsID == 1	--	MaleEvenTonedAccented	DSilHand_M40CompConspiracy	DSilHand_M40_Start1	Topic	PlayerDialogue	Custom	DSilHand_M40ST_Topic01	FormID 0202AE99	1	DSilHand_M_DSilHand_M40ST__0002AE99_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M40ST__0002AE99_1.xwm	File Not Found		I'm ready!	I'm ready!	Welcome brother.  Let's recover the fragment inside this tomb.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleEvenTonedAccented	DSilHand_M40CompConspiracy	DSilHand_M40_Start1	Topic	PlayerDialogue	Custom	DSilHand_M40ST_Topic01	FormID 0202AE99	2	DSilHand_M_DSilHand_M40ST__0002AE99_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M40ST__0002AE99_2.xwm	File Not Found		I'm ready!	I'm ready!	The rest of the men are already inside excavating. But beware. The Companions may be coming as well. Be ready to fight.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic04	FormID 0200FF1A	1	DSilHand_M_DSilHand_M20SKB_0000FF1A_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF1A_1.xwm	File Not Found		Consider the task done.	Consider the task done.	 That is the spirit  brother! Once you complete the task, you may ask any doubt you have to Fjol. He is the big brain we have. 	Happy 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic03	FormID 0200FF18	1	DSilHand_M_DSilHand_M20SKB_0000FF18_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF18_1.xwm	File Not Found		I'll retrieve the Fragment to honor Ysgramor.	I'll retrieve the Fragment to honor Ysgramor.	Perfect. You find the rest of the men at the entrance of the Dustman Cairn. They will aid you in this task. 	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic03	FormID 0200FF18	2	DSilHand_M_DSilHand_M20SKB_0000FF18_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF18_2.xwm	File Not Found		I'll retrieve the Fragment to honor Ysgramor.	I'll retrieve the Fragment to honor Ysgramor.	If you find the fragment, give it to Fjol's hand. He is the leader of Driftshade Refuge.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	1	DSilHand_M_DSilHand_M20SKB_0000FF16_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_1.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	Yes. Wuuthrad is a legendary axe owned by the great Nord hero Ysgramor, our spiritual patron and guide of our group.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	2	DSilHand_M_DSilHand_M20SKB_0000FF16_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_2.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	But it was broken into pieces, many centuries ago. 	Puzzled 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	3	DSilHand_M_DSilHand_M20SKB_0000FF16_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_3.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	We have been investigating  and searching all over Skyrim to find all pieces since the beginning of the Silver Hand. 	Puzzled 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	4	DSilHand_M_DSilHand_M20SKB_0000FF16_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_4.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	We were able to find many of them. Now we have enough clues to believe that one of the last fragments lies on Dustman Cairn.	Puzzled 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	5	DSilHand_M_DSilHand_M20SKB_0000FF16_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_5.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	We need to investigate, before the damn Companions put their dog dirty hands on it.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	6	DSilHand_M_DSilHand_M20SKB_0000FF16_6	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_6.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	That's because we believe The Companions, our greatest enemies, might already know that.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	7	DSilHand_M_DSilHand_M20SKB_0000FF16_7	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_7.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	By the way, as you may already imagine, the Companions veterans are Werewolves. All of them. 	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	8	DSilHand_M_DSilHand_M20SKB_0000FF16_8	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_8.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	They might have that smalltalk about Nord proud and Ysgramor, but the truth is: they are traitors, worshipers of Hircine. 	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	9	DSilHand_M_DSilHand_M20SKB_0000FF16_9	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_9.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	Just the newcomers do not have the beast blood,  but make no mistake. Many of them know about this "secret" and are still loyal.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic02	FormID 0200FF16	10	DSilHand_M_DSilHand_M20SKB_0000FF16_10	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF16_10.xwm	File Not Found		Fragment of Wuuthrad?	Fragment of Wuuthrad?	But, enough talk. You must go to Dustman Cairn now! 	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic01	FormID 0200FF14	1	DSilHand_M_DSilHand_M20SKB_0000FF14_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF14_1.xwm	File Not Found		What will be my first job?	What will be our next step?	Now we know you are able to deal with werewolves. As a silver hand initiate, we have a first task for you. Go to Dustman's Cairn. 	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleNord	DSilHand_M40CompConspiracy	DSilHand_M20_StartKrevBranch	Topic	PlayerDialogue	Custom	DSilHand_M20SKB_Topic01	FormID 0200FF14	2	DSilHand_M_DSilHand_M20SKB_0000FF14_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M20SKB_0000FF14_2.xwm	File Not Found		What will be my first job?	What will be our next step?	Meet the brothers on the entrance of the tomb, and help them retrieve the lost Fragment of Wuuthrad.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MaleEvenTonedAccented	DSilHand_M40CompConspiracy	DSilHand_M40_AfterBattle	Topic	PlayerDialogue	Custom	DSilHand_M40AB_Topic01	FormID 0202BED1	1	DSilHand_M_DSilHand_M40AB__0002BED1_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M40AB__0002BED1_1.xwm	File Not Found		...		Great battle follow companion. We just killed one of the members of the Circle.	Happy 80			
FFFFFFFF	--	--	GetIsID == 1	--	MaleEvenTonedAccented	DSilHand_M40CompConspiracy	DSilHand_M40_AfterBattle	Topic	PlayerDialogue	Custom	DSilHand_M40AB_Topic01	FormID 0202BED1	2	DSilHand_M_DSilHand_M40AB__0002BED1_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M40AB__0002BED1_2.xwm	File Not Found		...		That's the "beast blood gift" they say. I call it daedric abomination...  Anyway, let's continue!	Disgust 80			
FFFFFFFF	--	--	GetIsID == 1	--	MaleEvenTonedAccented	DSilHand_M40CompConspiracy	DSilHand_M40_AfterBattle	Topic	PlayerDialogue	Custom	DSilHand_M40AB_Topic01	FormID 0202BED1	3	DSilHand_M_DSilHand_M40AB__0002BED1_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M40AB__0002BED1_3.xwm	File Not Found		...		Let's call the brothers inside to help us. 	Happy 60			
