LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	1	DSilHand_M_DSilHand_M60FP__00025826_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_1.xwm	File Not Found		What things?	What things?	A long time ago... Krev and I were Companions too. We were almost like twin brothers, we were inseparable in the battles.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	2	DSilHand_M_DSilHand_M60FP__00025826_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_2.xwm	File Not Found		What things?	What things?	But one day...  We both were invited to ascend to the circle.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	3	DSilHand_M_DSilHand_M60FP__00025826_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_3.xwm	File Not Found		What things?	What things?	Fortunately, Krev noticed what the circle was about, and we fled before being forced to drink the cursed wolf blood.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	4	DSilHand_M_DSilHand_M60FP__00025826_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_4.xwm	File Not Found		What things?	What things?	Since then, we have been fighting for the Silver Hand. They didn't know but Krev's mother was murdered by a werewolf...	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	5	DSilHand_M_DSilHand_M60FP__00025826_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_5.xwm	File Not Found		What things?	What things?	We have been hiring valiant warriors who hate werewolves and Daedra more than anything.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic05	FormID 02025826	6	DSilHand_M_DSilHand_M60FP__00025826_6	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025826_6.xwm	File Not Found		What things?	What things?	Now, the Silver Hand had grown stronger than ever. But enough talk. We must celebrate our victory. Come on, let's celebrate!	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic04	FormID 02025825	1	DSilHand_M_DSilHand_M60FP__00025825_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025825_1.xwm	File Not Found		Three, including  Aela and Skjor!	Three, including  Aela and Skjor!	Even though many of us have perished, this was a great victory for sure.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic04	FormID 02025825	2	DSilHand_M_DSilHand_M60FP__00025825_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025825_2.xwm	File Not Found		Three, including  Aela and Skjor!	Three, including  Aela and Skjor!	You know... I must tell you some things...	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic03	FormID 02025824	1	DSilHand_M_DSilHand_M60FP__00025824_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025824_1.xwm	File Not Found		Yes… many brothers  have fallen, including our leader Krev...	Yes... many brothers  have fallen, including our leader Krev...	No... Krev... My best friend...  but... He must be better than us now, for sure!	Sad 70			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M60Retaliation	DSilHand_M60_FjolPlans	Topic	PlayerDialogue	Custom	DSilHand_M60FP_Topic03	FormID 02025824	2	DSilHand_M_DSilHand_M60FP__00025824_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M60FP__00025824_2.xwm	File Not Found		Yes… many brothers  have fallen, including our leader Krev...	Yes... many brothers  have fallen, including our leader Krev...	He must be drinking the most delicious mead, with the most delightful woman in Sovngarde.	Happy 50			
