LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic02	FormID 020278A1	1	DSilHand_M_DSilHand_M70FJ__000278A1_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__000278A1_1.xwm	File Not Found		I'll search for it!	I'll search for it!	Good! If you find anything there, please go look for me at Gallows Rock. I'll be attending Krev's funeral.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic01	FormID 0202789F	1	DSilHand_M_DSilHand_M70FJ__0002789F_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__0002789F_1.xwm	File Not Found		What are going to be our next moves?	What are going to be our next moves?	I just received a letter from a Silver brother who was investigating clues of the last missing Wuuthrad's  fragment in Morrowind.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic01	FormID 0202789F	2	DSilHand_M_DSilHand_M70FJ__0002789F_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__0002789F_2.xwm	File Not Found		What are going to be our next moves?	What are going to be our next moves?	He discovered that an axe fragment was displayed centuries ago in the Mournhold Museum of Artifacts, but disappeared after the Argonian invasion.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic01	FormID 0202789F	3	DSilHand_M_DSilHand_M70FJ__0002789F_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__0002789F_3.xwm	File Not Found		What are going to be our next moves?	What are going to be our next moves?	But rumors emerged that a group of bandits have found this fragment.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic01	FormID 0202789F	4	DSilHand_M_DSilHand_M70FJ__0002789F_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__0002789F_4.xwm	File Not Found		What are going to be our next moves?	What are going to be our next moves?	They were last seen crossing the border near Riften, and are housed in Broken Helm Hollow.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolBefore	Topic	PlayerDialogue	Custom	DSilHand_M70FJ_Topic01	FormID 0202789F	5	DSilHand_M_DSilHand_M70FJ__0002789F_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FJ__0002789F_5.xwm	File Not Found		What are going to be our next moves?	What are going to be our next moves?	Do you think you can handle this?	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic04	FormID 020278A9	1	DSilHand_M_DSilHand_M70FA__000278A9_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278A9_1.xwm	File Not Found		Not now...	Not now...	Ok. Come talk with me when you are ready. We need your help.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic03	FormID 020278AA	1	DSilHand_M_DSilHand_M70FA__000278AA_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278AA_1.xwm	File Not Found		Yes, I'm!	Yes, I'm!	Excellent. Meet the man outside Whiterun the next night, after Dusk.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic03	FormID 020278AA	2	DSilHand_M_DSilHand_M70FA__000278AA_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278AA_2.xwm	File Not Found		Yes, I'm!	Yes, I'm!	Until then, use your time to select your best armor and weapon. And some healing potions. This fight is going to be tough.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic02	FormID 020278A6	1	DSilHand_M_DSilHand_M70FA__000278A6_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278A6_1.xwm	File Not Found		How?	How?	We have been planning an assault on Jorrvaskr for a long time.  But now, since they lost the last battle, they are in a weak position.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic02	FormID 020278A6	2	DSilHand_M_DSilHand_M70FA__000278A6_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278A6_3.xwm	File Not Found		How?	How?	We will enter Whiterun using a secret passage created by the companions, in the sewers.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M70UncPast	DSilHand_M70_FjolAfter	Topic	PlayerDialogue	Custom	DSilHand_M70FA_Topic02	FormID 020278A6	3	DSilHand_M_DSilHand_M70FA__000278A6_7	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M70FA__000278A6_7.xwm	File Not Found		How?	How?	We are going to attack by surprise, so we may take them out of the guard.	Happy 50			
