LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentFound	Topic	PlayerDialogue	Custom	DSilHand_M80FF_Topic01	FormID 02044363	1	DSilHand_M_DSilHand_M80FF__00044363_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FF__00044363_1.xwm	File Not Found		Here is the last Fragment!	Here is the last Fragment!	So that's it! Thanks to you all Wuuthrad pieces are once again together...	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentFound	Topic	PlayerDialogue	Custom	DSilHand_M80FF_Topic01	FormID 02044363	2	DSilHand_M_DSilHand_M80FF__00044363_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FF__00044363_2.xwm	File Not Found		Here is the last Fragment!	Here is the last Fragment!	Follow me to the Skyforge  brother...	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FjolBeforeDiscourse	Topic	PlayerDialogue	Custom	DSilHand_M80FB_Topic01	FormID 02042850	1	DSilHand_M_DSilHand_M80FB__00042850_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FB__00042850_1.xwm	File Not Found		I'm ready!	I'm ready!	Good brother. We've been waiting for you. All the brothers are here. Let's begin...	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentSearch	Topic	PlayerDialogue	Custom	DSilHand_M80FS_Topic02	FormID 0204435E	1	DSilHand_M_DSilHand_M80FS__0004435E_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FS__0004435E_1.xwm	File Not Found		Consider the task done!	Consider the task done!	Thanks. Come to me if you find it.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentSearch	Topic	PlayerDialogue	Custom	DSilHand_M80FS_Topic02	FormID 0204435E	2	DSilHand_M_DSilHand_M80FS__0004435E_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FS__0004435E_2.xwm	File Not Found		Consider the task done!	Consider the task done!	It must be hidden somewhere in the basement. 	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentSearch	Topic	PlayerDialogue	Custom	DSilHand_M80FS_Topic02	FormID 0204435E	3	DSilHand_M_DSilHand_M80FS__0004435E_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FS__0004435E_3.xwm	File Not Found		Consider the task done!	Consider the task done!	We will be cleaning the mess and preparing the bodies for the funerals.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentSearch	Topic	PlayerDialogue	Custom	DSilHand_M80FS_Topic01	FormID 0204435C	1	DSilHand_M_DSilHand_M80FS__0004435C_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FS__0004435C_1.xwm	File Not Found		...	...	I have one thing to request. Three of the fragments in possession of the Companions are displayed on the wall, but one is missing...	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	DSilHand_M80_FragmentSearch	Topic	PlayerDialogue	Custom	DSilHand_M80FS_Topic01	FormID 0204435C	2	DSilHand_M_DSilHand_M80FS__0004435C_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M80FS__0004435C_2.xwm	File Not Found		...	...	We need to find it. We need your help.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 0204A4BF	1	DSilHand_M80AssaultJor__0004A4BF_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M80AssaultJor__0004A4BF_1.xwm	File Not Found			...	Brothers, put down your weapons!! 	Anger 50			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048F20	1	DSilHand_M80AssaultJor__00048F20_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048F20_1.xwm	File Not Found			...	First, the cursed blood has gone, but we must keep it a secret. The people here in Whiterun don't need to know the rumors are indeed true.	Sad 70			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048F20	2	DSilHand_M80AssaultJor__00048F20_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048F20_2.xwm	File Not Found			...	Second: I cannot let you and your group rejoin the Companions. 	Sad 70			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048F20	3	DSilHand_M80AssaultJor__00048F20_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048F20_3.xwm	File Not Found			...	After all of this bloodshed, your presence would not be tolerated by any of Whiterun's clans.	Sad 70			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048F20	4	DSilHand_M80AssaultJor__00048F20_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048F20_4.xwm	File Not Found			...	This would escalate to another endless war among our factions once again.	Sad 70			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048F20	5	DSilHand_M80AssaultJor__00048F20_5	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048F20_5.xwm	File Not Found			...	You and our group should stay away from  Whiterun. At least not for a long time, until the wounds are healed...	Sad 70			
FFFFFFFF	DSilHand_Athis	DSilHand_Athis	GetIsID == 1	DarkElfRace	MaleDarkElf	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 0204845A	1	DSilHand_M80AssaultJor__0004845A_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleDarkElf\DSilHand_M80AssaultJor__0004845A_1.xwm	File Not Found			...	Damn it... I was THIS close.	Anger 50			
FFFFFFFF	DSilHand_VignarGrayMane	DSilHand_VignarGrayMane	GetIsID == 1	ElderRace	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048458	1	DSilHand_M80AssaultJor__00048458_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048458_1.xwm	File Not Found			...	Hmm, I think you're right. We've seen the secrets that can harm our faction.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048456	1	DSilHand_M80AssaultJor__00048456_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M80AssaultJor__00048456_1.xwm	File Not Found			...	Vignar, the Companions were meant to be brothers sworn by blood, not by leadership. There should be no harbinger. Not for a long time, at least.	Neutral 50			
FFFFFFFF	--	--	--	--	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048454	1	DSilHand_M80AssaultJor__00048454_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048454_1.xwm	File Not Found			...	Since Kodlak died, We need a new harbinger. I think it should be you.	Neutral 50			
FFFFFFFF	DSilHand_Athis	DSilHand_Athis	GetIsID == 1	DarkElfRace	MaleDarkElf	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048452	1	DSilHand_M80AssaultJor__00048452_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleDarkElf\DSilHand_M80AssaultJor__00048452_1.xwm	File Not Found			...	Yes sir...	Neutral 50			
FFFFFFFF	DSilHand_VignarGrayMane	DSilHand_VignarGrayMane	GetIsID == 1	ElderRace	MaleOldGrumpy	DSilHand_M80AssaultJor	(none)	Scene	SceneDialogue	Custom		FormID 02048450	1	DSilHand_M80AssaultJor__00048450_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOldGrumpy\DSilHand_M80AssaultJor__00048450_1.xwm	File Not Found			...	Good. Athis, come here.	Neutral 50			
