LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic08	FormID 02053103	1	DSilHand_M_DSilHand_M90_AS_00053103_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053103_1.xwm	File Not Found		I think I'm not ready for this yet...	I think I'm not ready for this yet...	I understand. If you change your mind, come talk to me on Driftshade.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic08	FormID 02053103	2	DSilHand_M_DSilHand_M90_AS_00053103_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053103_2.xwm	File Not Found		I think I'm not ready for this yet...	I think I'm not ready for this yet...	Hillara and Sennar are responsible for managing the contracts on Gallows Rock.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic07	FormID 02053102	1	DSilHand_M_DSilHand_M90_AS_00053102_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053102_1.xwm	File Not Found		I'll do,for sure!	I'll do,for sure!	I also would like to ask for you to come back to Driftshade in a few days. I'm finishing another research.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic06	FormID 02053101	1	DSilHand_M_DSilHand_M90_AS_00053101_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053101_1.xwm	File Not Found		Yes, I do.	Yes, I do.	Good. Hillara and Sennar are responsible for managing the contracts.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic06	FormID 02053101	2	DSilHand_M_DSilHand_M90_AS_00053101_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053101_2.xwm	File Not Found		Yes, I do.	Yes, I do.	Talk to them to organize the wolf hunts.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic06	FormID 02053101	3	DSilHand_M_DSilHand_M90_AS_00053101_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053101_3.xwm	File Not Found		Yes, I do.	Yes, I do.	Please, hold this axe and kill some beasts for me.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic05	FormID 02053100	1	DSilHand_M_DSilHand_M90_AS_00053100_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053100_1.xwm	File Not Found		What thing?	What thing?	I think you should be the leader of the Silver Hands. 	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic05	FormID 02053100	2	DSilHand_M_DSilHand_M90_AS_00053100_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053100_2.xwm	File Not Found		What thing?	What thing?	I really think I'm better with my research than with leadership.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic05	FormID 02053100	3	DSilHand_M_DSilHand_M90_AS_00053100_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053100_3.xwm	File Not Found		What thing?	What thing?	If it wasn't for you, we wouldn't have made it.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_M90HonYsgramor	DSilHand_M90_AfterSavingKodlak	Topic	PlayerDialogue	Custom	DSilHand_M90_ASK_Topic05	FormID 02053100	4	DSilHand_M_DSilHand_M90_AS_00053100_4	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_M_DSilHand_M90_AS_00053100_4.xwm	File Not Found		What thing?	What thing?	Do you accept?	Neutral 50			
