LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_R00Controller	DSilHand_R00HillaraReceiveGold	Topic	PlayerDialogue	Custom	DSilHand_R00HiRG_Topic01	FormID 020669D1	1	DSilHand_R_DSilHand_R00HiR_000669D1_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_R_DSilHand_R00HiR_000669D1_1.xwm	File Not Found		Any gold from our last contracts?	Any gold from our last contracts?	Yes, we received the gold. Here is your share.	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarReceiveGold	Topic	PlayerDialogue	Custom	DSilHand_R00SeRG_Topic01	FormID 020669CE	1	DSilHand_R_DSilHand_R00SeR_000669CE_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_000669CE_1.xwm	File Not Found		Any gold from our last contracts?	Any gold from our last contracts?	Yes, we received the gold. Here is your share.	Happy 70			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarR03	Topic	PlayerDialogue	Custom	DSilHand_R00SeR03_Topic01	FormID 02065983	1	DSilHand_R_DSilHand_R00SeR_00065983_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_00065983_1.xwm	File Not Found		Any new contract or job?	Any new contract or job?	Yes. An emissary from the jarl has contacted us. He said a group of bandits is causing some trouble.	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarR03	Topic	PlayerDialogue	Custom	DSilHand_R00SeR03_Topic01	FormID 02065983	2	DSilHand_R_DSilHand_R00SeR_00065983_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_00065983_2.xwm	File Not Found		Any new contract or job?	Any new contract or job?	They robbed some people and some cargo. One of their members is a werewolf.	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarR03	Topic	PlayerDialogue	Custom	DSilHand_R00SeR03_Topic01	FormID 02065983	3	DSilHand_R_DSilHand_R00SeR_00065983_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_00065983_3.xwm	File Not Found		Any new contract or job?	Any new contract or job?	They are going to pay a good amount of gold if we take care of the beast and the bandit leader.	Neutral 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_R00Controller	DSilHand_R00HillaraReward	Topic	PlayerDialogue	Custom	DSilHand_R00HiSR_Topic01	FormID 02066467	1	DSilHand_R_DSilHand_R00HiS_00066467_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_R_DSilHand_R00HiS_00066467_1.xwm	File Not Found		It's done!	It's done!	Yes, we did it! The men will take care of seeking the reward. Come back tomorrow and talk to me to take your share.	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarR04	Topic	PlayerDialogue	Custom	DSilHand_R00SeR04_Topic01	FormID 02065986	1	DSilHand_R_DSilHand_R00SeR_00065986_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_00065986_1.xwm	File Not Found		Any new contract or job?	Any new contract or job?	Yes. Some villagers reported to us they found a hiding place of a Glenmoril Witch.	Neutral 50			
FFFFFFFF	DSilHand_Senaar	DSilHand_Senaar	GetIsID == 1	KhajiitRace	MaleKhajiit	DSilHand_R00Controller	DSilHand_R00SenaarR04	Topic	PlayerDialogue	Custom	DSilHand_R00SeR04_Topic01	FormID 02065986	2	DSilHand_R_DSilHand_R00SeR_00065986_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_R_DSilHand_R00SeR_00065986_2.xwm	File Not Found		Any new contract or job?	Any new contract or job?	She has been performing cruel blood rituals, and they have contacted us to finish her off.	Neutral 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_R00Controller	DSilHand_R00_HillaraR01	Topic	PlayerDialogue	Custom	DSilHand_R00HiR01_Topic06	FormID 0206645B	1	DSilHand_R_DSilHand_R00HiR_0006645B_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_R_DSilHand_R00HiR_0006645B_1.xwm	File Not Found		Prepare a group, and meet me outside.	Prepare a group, and meet me outside.	Ok. I'll meet you there.	Neutral 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_R00Controller	DSilHand_R00_HillaraR01	Topic	PlayerDialogue	Custom	DSilHand_R00HiR01_Topic05	FormID 02066459	1	DSilHand_R_DSilHand_R00HiR_00066459_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_R_DSilHand_R00HiR_00066459_1.xwm	File Not Found		Let's do it together, right now!	Let's do it together, right now!	Let's go! Lead the way.	Neutral 50			
FFFFFFFF	DSilHand_Hillara	DSilHand_Hillara	GetIsID == 1	WoodElfRace	FemaleEvenToned	DSilHand_R00Controller	DSilHand_R00_HillaraR01	Topic	PlayerDialogue	Custom	DSilHand_R00HiR01_Topic04	FormID 02066457	1	DSilHand_R_DSilHand_R00HiR_00066457_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_R_DSilHand_R00HiR_00066457_1.xwm	File Not Found		I'll solve this contract alone.	I'll solve this contract alone.	Ok. Just come to me when you finalized it, so we can reclaim the reward.	Neutral 50			
