LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_FindFirstTotem	Topic	PlayerDialogue	Custom	DSilHand_S02_F1T_Topic01	FormID 0205920A	1	DSilHand_S_DSilHand_S02_F1_0005920A_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02_F1_0005920A_1.xwm	File Not Found		I think this is the Totem of the Hunt...	I think this is the Totem of the Hunt...	Good job! It matches the totem description.	Happy 70			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_FindFirstTotem	Topic	PlayerDialogue	Custom	DSilHand_S02_F1T_Topic01	FormID 0205920A	2	DSilHand_S_DSilHand_S02_F1_0005920A_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02_F1_0005920A_2.xwm	File Not Found		I think this is the Totem of the Hunt...	I think this is the Totem of the Hunt...	The second totem must be on Cragwallow Slope. It resembles a usual drum. It is called the Totem of Brotherhood.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic05	FormID 02059204	1	DSilHand_S_DSilHand_S02TWF_00059204_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059204_1.xwm	File Not Found		I'm busy right now...	I'm busy right now...	No problem ... Come back when you are ready.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic04	FormID 02059203	1	DSilHand_S_DSilHand_S02TWF_00059203_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059203_1.xwm	File Not Found		Let's begin!	Let's begin!	The first totem is called Totem of the Hunt. Reassemble a thigh bone. It must be hidden on Clearspring Cave.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic04	FormID 02059203	2	DSilHand_S_DSilHand_S02TWF_00059203_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059203_2.xwm	File Not Found		Let's begin!	Let's begin!	Take this, a copy of The Totems Of Hircine, if you want to learn more about.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic03	FormID 02059200	1	DSilHand_S_DSilHand_S02TWF_00059200_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059200_1.xwm	File Not Found		Banish them?	Banish them?	Yes. Since they are daedric artifacts, once they are destroyed there is no guarantee they are gone to come back someday.	Anger 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic03	FormID 02059200	2	DSilHand_S_DSilHand_S02TWF_00059200_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059200_2.xwm	File Not Found		Banish them?	Banish them?	I hope our work will last for some generations.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic03	FormID 02059200	3	DSilHand_S_DSilHand_S02TWF_00059200_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_00059200_3.xwm	File Not Found		Banish them?	Banish them?	But even in the worst case, it should diminish Hincine influence over Skyrim.	Neutral 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic02	FormID 020591FE	1	DSilHand_S_DSilHand_S02TWF_000591FE_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_000591FE_1.xwm	File Not Found		Totems of Hircine?	Totems of Hircine?	Yes. There are three: a thigh bone, a carved Skull, and a Drum.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic02	FormID 020591FE	2	DSilHand_S_DSilHand_S02TWF_000591FE_2	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_000591FE_2.xwm	File Not Found		Totems of Hircine?	Totems of Hircine?	I was searching for clues about where they might be and how to destroy them.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic02	FormID 020591FE	3	DSilHand_S_DSilHand_S02TWF_000591FE_3	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_000591FE_3.xwm	File Not Found		Totems of Hircine?	Totems of Hircine?	Now I think I discovered where they may be, and how to banish them.	Happy 50			
FFFFFFFF	DSilHand_Fjol	DSilHand_Fjol	GetIsID == 1	NordRace	MaleEvenTonedAccented	DSilHand_S02IconoclasticRevenge	DSilHand_S02_TalkWithFjol	Topic	PlayerDialogue	Custom	DSilHand_S02TWF_Topic01	FormID 020591FC	1	DSilHand_S_DSilHand_S02TWF_000591FC_1	Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_S_DSilHand_S02TWF_000591FC_1.xwm	File Not Found		Any new work to do?	Any new work to do?	Yes, I have. On my research, I discovered a book about the Totems of Hircine.	Happy 50			
